policy,scenario,kind,cmd_vx,direction,initial_roll_deg,fallen,peak_roll_deg,peak_roll_after_025_deg,recovery_time_s,symmetric_reentry_time_s,reverse_overshoot_deg,steady_vx,steady_vy_abs,action_max,action_element_over_095_ratio,action_cycle_over_095_ratio,torque_abs_max,settled_diagonal_height_error,settled_contact_mismatch_ratio,min_height
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5600.onnx,roll_+5_vx0.12,roll,0.12,1,5.0,0,4.9635800726981225,2.50521838899136,0.06,0.06,1.7861135211605426,0.0854054269757286,0.0339188230616427,0.9296737909317017,0.0,0.0,8.42554446049429,0.00577844982364169,0.15,0.281227506697018
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5600.onnx,roll_-8_vx0.12,roll,0.12,-1,-8.0,0,7.9117923208810685,3.510352638717376,0.1,0.48,2.042083942610149,0.08562423510769646,0.03209620414178708,0.9289934635162354,0.0,0.0,8.387957287962113,0.005650510695048555,0.16,0.27981773845629876
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5600.onnx,roll_+8_vx0.12,roll,0.12,1,8.0,0,7.925285124408274,3.467945386948757,0.3,0.28,1.7767083860318003,0.08564738721809476,0.03332919869070769,0.9291278123855591,0.0,0.0,8.223624583140559,0.00571786825890311,0.14333333333333334,0.2816954697298056
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5600.onnx,push_-1_vx0.12,push,0.12,-1,-0.0,0,1.9244673056167445,1.9244673056167445,0.06000000000000005,0.06000000000000005,1.9244673056167445,0.09239220758465919,0.0390086652010928,0.9436870217323303,0.0,0.0,8.256286418647642,0.0037257057301253844,0.11,0.28103961922367177
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5600.onnx,push_+1_vx0.12,push,0.12,1,0.0,0,1.7606987505588665,1.7606987505588665,0.06000000000000005,0.06000000000000005,1.7606987505588665,0.08940043563342631,0.029728428355848963,0.9283479452133179,0.0,0.0,8.256286418647642,0.005454893507969969,0.15,0.28103961922367177
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5600.onnx,roll_-3_vx0.20,roll,0.2,-1,-3.0,0,2.988653605782414,2.500394027796914,0.06,0.06,2.276192465022647,0.16270735510972123,0.01919252760376312,0.9216009974479675,0.0,0.0,8.285254791522732,0.0018558760050513283,0.10666666666666667,0.28083166377962754
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5600.onnx,roll_+3_vx0.20,roll,0.2,1,3.0,0,3.011435481712431,2.1407310302401457,0.06,0.06,2.1407310302401457,0.16646900477873222,0.049489663743914517,0.893476128578186,0.0,0.0,8.165004315601083,0.005929917148397638,0.12333333333333334,0.28056700795198675
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5600.onnx,roll_-5_vx0.20,roll,0.2,-1,-5.0,0,4.942782382743897,3.1868149917842277,0.06,0.46,2.0944093791001217,0.162648376146564,0.019577691980357345,0.9275916814804077,0.0,0.0,8.351339001037552,0.0019387747645762633,0.11333333333333333,0.28021025837314745
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5600.onnx,roll_+5_vx0.20,roll,0.2,1,5.0,0,4.954108942972782,1.8426165054997834,0.08,0.06,1.283686845714565,0.16269396766317515,0.01953124449083904,0.9208164811134338,0.0,0.0,8.745622895466388,0.0019344293266584786,0.11666666666666667,0.2806543340647752
/home/nszb/gym/mujoko/models/tilt_recovery_5530_candidates/model_5600.onnx,roll_-8_vx0.20,roll,0.2,-1,-8.0,0,7.9045595118113425,3.8076446926392435,0.1,0.48,1.0794560954110652,0.16262594624338617,0.01938924769639623,0.9269545078277588,0.0,0.0,8.421221316208372,0.0018831760145916936,0.10666666666666667,0.2801088100933906
